timestamp,open,high,low,close,volume
2025-12-01,90360.01,90417.0,83822.76,86286.01,34509.01227
2025-12-02,86286.01,92307.65,86184.39,91277.88,28210.22732
2025-12-03,91277.88,94150.0,90990.23,93429.95,25712.52585
2025-12-04,93429.95,94080.0,90889.0,92078.06,19803.94059
2025-12-05,92078.06,92692.36,88056.0,89330.04,19792.97218
2025-12-06,89330.04,90289.97,88908.01,89236.79,8409.50016
2025-12-07,89236.8,91760.0,87719.28,90395.31,13021.11185
2025-12-08,90395.32,92287.15,89612.0,90634.34,15793.63887
2025-12-09,90634.35,94588.99,89500.0,92678.8,21240.43014
2025-12-10,92678.81,94476.0,91563.15,92015.37,18998.68083
2025-12-11,92015.38,93555.0,89260.63,92513.38,19972.58758
2025-12-12,92513.38,92754.0,89480.0,90268.42,16679.19169
2025-12-13,90268.43,90634.55,89766.39,90240.01,5895.70788
2025-12-14,90240.0,90472.4,87577.36,88172.17,9416.94004
2025-12-15,88172.16,90052.64,85146.64,86432.08,19778.6919
2025-12-16,86432.08,88175.98,85266.0,87863.42,18456.05017
2025-12-17,87863.43,90365.85,85314.0,86243.22,19834.11729
2025-12-18,86243.23,89477.61,84450.01,85516.41,25405.41763
2025-12-19,85516.41,89399.97,85110.24,88136.94,21256.65004
2025-12-20,88136.95,88573.07,87795.76,88360.9,5123.13194
2025-12-21,88360.91,89081.77,87600.04,88658.86,7132.87258
2025-12-22,88658.87,90588.23,87900.0,88620.79,14673.2197
2025-12-23,88620.79,88940.0,86601.9,87486.0,13910.32904
2025-12-24,87486.0,88049.89,86420.0,87669.45,9140.8432
2025-12-25,87669.44,88592.74,86934.72,87225.27,7096.58235
2025-12-26,87225.27,89567.75,86655.08,87369.56,18344.61505
2025-12-27,87369.56,87984.0,87253.05,87877.01,4469.55156
2025-12-28,87877.0,88088.75,87435.0,87952.71,4446.29285
2025-12-29,87952.71,90406.08,86806.5,87237.13,19894.98575
2025-12-30,87237.13,89400.0,86845.66,88485.49,13105.91001
2025-12-31,88485.5,89200.0,87250.0,87648.22,11558.62047
2026-01-01,87648.21,88919.45,87550.43,88839.04,6279.57133
2026-01-02,88839.05,90961.81,88379.88,89995.13,17396.97301
2026-01-03,89995.14,90741.16,89314.01,90628.01,7057.46716
2026-01-04,90628.01,91810.0,90628.0,91529.73,10426.5297
2026-01-05,91529.74,94789.08,91514.81,93859.71,20673.59584
2026-01-06,93859.71,94444.44,91262.94,93747.97,18546.41829
2026-01-07,93747.97,93747.97,90675.52,91364.16,14276.49025
2026-01-08,91364.16,91687.99,89311.0,91099.99,16132.79117
2026-01-09,91100.0,92082.55,89694.66,90641.28,15590.27939
2026-01-10,90641.27,90832.0,90404.0,90504.7,3104.11722
2026-01-11,90504.7,91283.89,90236.0,91013.65,5477.13594
2026-01-12,91013.66,92519.95,90128.44,91296.2,16188.08268
2026-01-13,91296.2,96495.0,91042.66,95414.0,23021.51482
2026-01-14,95413.99,97924.49,94559.28,96951.78,22851.89428
2026-01-15,96951.78,97193.34,95134.48,95604.8,21725.81369
2026-01-16,95604.81,95871.47,94293.46,95550.94,11167.7146
2026-01-17,95550.94,95639.45,95021.67,95147.77,4280.80137
2026-01-18,95147.77,95531.12,93615.4,93673.14,6895.17819
2026-01-19,93673.14,93673.14,91910.2,92631.0,14295.52747
2026-01-20,92630.99,92870.0,87895.98,88427.66,22007.3261
2026-01-21,88427.66,90574.0,87263.53,89454.73,20617.50372
2026-01-22,89454.73,90359.99,88515.37,89559.67,10825.50492
2026-01-23,89559.68,91224.99,88578.36,89600.26,13918.48919
2026-01-24,89600.26,89957.39,89162.08,89225.34,4226.56737
2026-01-25,89225.34,89319.13,86074.72,86670.36,14426.22019
2026-01-26,86670.36,88860.0,86509.63,88347.08,17766.51453
2026-01-27,88347.08,89523.16,87304.33,89250.0,13125.40425
2026-01-28,89249.99,90600.0,88833.65,89299.99,14332.18502
2026-01-29,89300.0,89348.0,83383.33,84650.16,30431.38201
2026-01-30,84650.16,84735.75,81118.0,84260.49,35195.84793
2026-01-31,84260.5,84270.02,75719.9,78741.09,39491.89133
2026-02-01,78741.1,79424.0,75700.0,76968.21,25395.48168
2026-02-02,76968.22,79360.0,74604.0,78738.61,42273.59016
2026-02-03,78738.6,79186.81,72945.5,75770.21,39120.10889
2026-02-04,75770.21,76971.52,71888.0,73165.83,38375.36
2026-02-05,73165.84,73341.18,62345.0,62909.86,106298.82899
2026-02-06,62909.87,71751.33,60000.0,70580.26,92539.21531
2026-02-07,70580.26,71690.07,67300.0,69289.38,44255.48036
2026-02-08,69289.37,72271.41,68888.0,70330.38,21420.53168
2026-02-09,70330.38,71453.53,68308.0,70138.0,29152.72842
2026-02-10,70138.0,70527.59,67800.0,68841.29,20373.77072
2026-02-11,68841.28,69292.88,65756.0,67082.52,28718.24602
2026-02-12,67082.52,68410.52,65118.0,66272.17,24271.74283
2026-02-13,66272.17,69482.97,65872.46,68853.96,20244.54955
2026-02-14,68853.97,70560.01,68730.13,69822.95,18114.78393
2026-02-15,69822.94,70983.0,68000.0,68832.58,22290.05208
2026-02-16,68832.59,70126.67,67294.11,68892.43,15515.76534
2026-02-17,68892.43,69241.5,66621.06,67503.52,16489.06921
2026-02-18,67503.52,68476.22,65870.0,66461.0,15492.43839
2026-02-19,66461.0,67320.0,65631.83,67003.73,14542.26988
2026-02-20,67003.73,68318.39,66280.2,68020.01,35351.87091
2026-02-21,68020.0,68698.7,67534.69,67975.93,8032.84131
2026-02-22,67975.93,68245.0,67190.0,67643.4,8175.13484
2026-02-23,67643.39,67684.86,63888.79,64656.02,33075.90923
2026-02-24,64656.01,65026.75,62510.28,64058.15,23102.83622
2026-02-25,64058.15,69988.83,63913.27,67988.04,30749.99259
2026-02-26,67988.04,68860.0,66500.0,67485.18,20737.77792
2026-02-27,67485.19,68216.8,64914.46,65872.1,21228.58424
2026-02-28,65872.09,67760.0,63030.0,66973.26,22548.71649
2026-03-01,66973.26,68199.99,65056.0,65776.47,23201.85859
2026-03-02,65776.48,70096.0,65259.21,68830.06,32010.38431
2026-03-03,68830.06,69258.08,66158.0,68338.0,24972.2418
2026-03-04,68338.01,74050.0,67400.0,72666.77,44919.0761
2026-03-05,72666.77,73558.15,70645.47,70890.72,26590.51253
2026-03-06,70891.02,71419.98,67744.78,68114.02,22629.88722
2026-03-07,68114.02,68551.04,66915.26,67262.91,12719.54315
2026-03-08,67262.91,68200.0,65618.49,65971.2,21593.63901
2026-03-09,65971.2,69516.65,65821.97,68432.16,28896.7213
2026-03-10,68432.16,70578.29,68391.41,69966.73,7278.13592
